"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000232187",142,136,409,17,31,9,1.30513405008376e-14,"FTH1P7",69,1321
"ENSG00000022840",12037,11720,40543,4751,4081,4378,1.32307837807813e-14,"RNF10",70,79
"ENSG00000155189",85,69,109,3124,3127,3484,1.32307837807813e-14,"AGPAT5",71,63
"ENSG00000007062",8,5,3,9926,939,9166,1.60391441066395e-14,"PROM1",72,123
"ENSG00000140932",238,663,3703,21,6,31,2.06537511847909e-14,"CMTM2",73,116
"ENSG00000132471",9721,4497,14666,1905,2244,1449,2.06999138514989e-14,"WBP2",74,142
"ENSG00000115590",1535,21445,251167,145,113,5,2.35318164221389e-14,"IL1R2",75,122
"ENSG00000119121",94,184,122,9,10,14,2.3714686655078e-14,"TRPM6",76,111
"ENSG00000143774",12395,8405,8383,2056,1378,1151,2.46246528279217e-14,"GUK1",77,115
"ENSG00000187608",256,231,585,116,116,80,4.31422026585769e-14,"ISG15",78,106
"ENSG00000214456",207,946,2249,26,57,18,4.3285718727895e-14,"PLIN5",79,73
"ENSG00000086506",480,1110,408,34,7,28,5.21709470650149e-14,"HBQ1",80,-6
"ENSG00000109061",465,330,175,1,0,0,5.33642357988515e-14,"MYH1",81,197
"ENSG00000103569",6406,18023,88377,196,534,27,5.46757418328087e-14,"AQP9",82,92
"ENSG00000173641",108,153,187,0,1,1,5.46757418328087e-14,"HSPB7",83,218
"ENSG00000104218",86,73,148,3596,2871,4057,7.35554862207034e-14,"CSPP1",84,-6
"ENSG00000198554",23,25,35,1083,1213,1055,7.36588149129475e-14,"WDHD1",85,77
"ENSG00000168309",76,124,630,5,10,2,7.41627157874819e-14,"FAM107A",86,330
"ENSG00000221957",226,159,97,1,4,0,9.38433492022567e-14,"KIR2DS4",87,63
"ENSG00000116299",944,787,957,57,4,21,9.70939100337563e-14,"ELAPOR1",88,92
"ENSG00000105835",21304,38257,221010,3888,4582,1824,1.27760024434925e-13,"NAMPT",89,179
"ENSG00000131095",311,186,810,5,10,31,1.34440706496108e-13,"GFAP",90,622
"ENSG00000050165",69,131,224,18,5,6,1.45096661309965e-13,"DKK3",91,684
"ENSG00000236562",79,38,205,5,2,1,1.45415097638802e-13,"IFITM3P1",92,1259
"ENSG00000102098",13,5,8,1358,837,1009,1.57150296067009e-13,"SCML2",93,141
"ENSG00000258819",53,275,130,2,1,2,2.04670518500326e-13,"LINC02289",94,438
"ENSG00000154553",43,77,80,6,5,2,2.50625587236412e-13,"PDLIM3",95,262
"ENSG00000079393",97,41,178,4,0,2,2.5615567454085e-13,"DUSP13",96,169
"ENSG00000103154",91,110,284,2,0,0,2.5615567454085e-13,"NECAB2",97,183
"ENSG00000185043",1249,1354,2373,655,791,764,2.7664115276571e-13,"CIB1",98,304
"ENSG00000246859",7,3,10,1487,543,1611,3.38527969448442e-13,"STARD4-AS1",99,40
"ENSG00000189067",15999,13869,80658,4252,2730,3480,3.70945685935201e-13,"LITAF",100,117
"ENSG00000132376",1658,1341,2797,970,979,882,3.88555416698787e-13,"INPP5K",101,213
"ENSG00000060749",64,80,78,3108,3580,3527,4.26725141552937e-13,"QSER1",102,105
"ENSG00000167768",1599,1010,98,6,6,0,4.32990294527202e-13,"KRT1",103,135
"ENSG00000134668",116,56,83,1,4,5,4.56624169758043e-13,"SPOCD1",104,119
"ENSG00000142731",14,12,13,777,1152,882,4.61396343712611e-13,"PLK4",105,58
"ENSG00000068971",1014,648,1508,263,378,212,4.98337010027826e-13,"PPP2R5B",106,202
"ENSG00000173110",8520,1516,8372,24,113,3,4.98337010027826e-13,"HSPA6",107,121
"ENSG00000173868",5396,4657,2167,157,263,38,4.98337010027826e-13,"PHOSPHO1",108,127
"ENSG00000149639",103,63,138,4028,6592,4058,5.1681941587212e-13,"SOGA1",109,122
"ENSG00000149289",6,6,27,2044,943,2740,5.63404513560368e-13,"ZC3H12C",110,123
"ENSG00000204592",49730,53724,129569,19638,22267,10076,5.63404513560368e-13,"HLA-E",111,116
"ENSG00000104879",2735,1531,655,11,60,60,5.99197452367165e-13,"CKM",112,308
"ENSG00000163507",19,20,27,1034,1059,773,6.37091705241673e-13,"CIP2A",113,75
"ENSG00000225470",14,7,7,1179,1233,2461,8.90439272119293e-13,"JPX",114,-27
"ENSG00000115607",1675,5936,40574,328,48,61,9.25422919947676e-13,"IL18RAP",115,130
"ENSG00000214688",77,81,169,32,19,15,9.77146629814543e-13,"C10orf105",116,66
"ENSG00000106484",24,6,33,1652,2098,1714,1.03509372758348e-12,"MEST",117,947
"ENSG00000147872",15575,5285,7703,1214,1215,820,1.07823632755542e-12,"PLIN2",118,151
"ENSG00000168530",209,149,67,0,0,0,1.07823632755542e-12,"MYL1",119,250
"ENSG00000130165",749,718,1038,404,394,388,1.30006360234898e-12,"ELOF1",120,179
"ENSG00000178295",51,32,66,2378,2590,1556,1.5567827859918e-12,"GEN1",121,177
"ENSG00000184481",1630,1201,2076,599,464,680,1.58867748675704e-12,"FOXO4",122,191
"ENSG00000152463",13,906,5694,5,1,4,1.6022901762096e-12,"OLAH",123,143
"ENSG00000286071",16,8,9,922,1105,1198,1.75562888155092e-12,"AL136171.2",124,NA
"ENSG00000034152",5458,3777,10684,2812,2690,2350,1.95798395225002e-12,"MAP2K3",125,165
"ENSG00000127084",8854,6902,23100,3406,4012,2329,2.09758487510871e-12,"FGD3",126,151
"ENSG00000124766",57,31,106,2814,5511,7408,2.23447250920361e-12,"SOX4",127,159
"ENSG00000066279",25,7,12,1837,3406,1960,2.54823569842674e-12,"ASPM",128,12
"ENSG00000159173",450,111,61,2,1,1,2.54823569842674e-12,"TNNI1",129,300
"ENSG00000051341",22,5,20,1610,2039,1266,2.64743421279976e-12,"POLQ",130,30
"ENSG00000239474",44,70,126,3,2,9,2.76241614132765e-12,"KLHL41",131,55
"ENSG00000139890",156,305,498,60,17,24,2.91518302405671e-12,"REM2",132,138
"ENSG00000175003",62,35,110,3,4,0,2.98497209100392e-12,"SLC22A1",133,234
"ENSG00000136205",143,194,307,7224,7218,4979,3.17142252056953e-12,"TNS3",134,105
"ENSG00000172270",10129,7886,17350,5422,4962,3209,3.35107237576772e-12,"BSG",135,172
"ENSG00000164309",133,188,365,48,13,27,3.61671011152466e-12,"CMYA5",136,556
"ENSG00000286051",0,0,0,2418,482,6603,3.64039476978828e-12,"AC244102.3",137,NA
"ENSG00000128340",16055,17423,54705,6951,7741,8455,3.66010199732956e-12,"RAC2",138,138
"ENSG00000281344",1,4,7,425,810,953,4.7581990998024e-12,"HELLPAR",139,52
"ENSG00000119969",46,43,37,3249,3100,1897,5.56078761305336e-12,"HELLS",140,148
"ENSG00000173846",2059,2280,2797,1147,1027,781,5.62765910867305e-12,"PLK3",141,122
"ENSG00000196923",3941,2984,6768,1489,542,666,5.70489671094574e-12,"PDLIM7",142,243
"ENSG00000013306",46603,39787,9269,2592,1334,1139,6.39515731682392e-12,"SLC25A39",143,146
"ENSG00000144792",8,4,13,703,620,1375,6.39515731682392e-12,"ZNF660",144,172
"ENSG00000170525",10437,5449,42112,1594,1850,668,6.51694450829268e-12,"PFKFB3",145,158
"ENSG00000168878",157,111,140,35,28,17,6.5687146462469e-12,"SFTPB",146,1813
"ENSG00000177791",232,81,50,3,2,3,6.79277867239793e-12,"MYOZ1",147,374
"ENSG00000186439",51,44,64,0,3,2,6.99160769395675e-12,"TRDN",148,837
"ENSG00000243772",145,150,50,6,7,5,7.078997609584e-12,"KIR2DL3",149,49
"ENSG00000173894",5,4,4,2443,429,1227,7.93777606492348e-12,"CBX2",150,108
"ENSG00000116641",43,20,80,2163,1919,2170,8.27642474148881e-12,"DOCK7",151,203
"ENSG00000227507",1823,711,1382,265,125,92,8.75018188309503e-12,"LTB",152,227
"ENSG00000118276",11,3,21,1768,926,3220,9.17408683400062e-12,"B4GALT6",153,-39
"ENSG00000185900",81,96,139,5302,5647,2724,9.38348677245104e-12,"POMK",154,-131
"ENSG00000124731",4815,6288,11943,1085,1958,570,9.49811395126755e-12,"TREM1",155,385
"ENSG00000105501",192,124,752,34,44,18,9.85590980670179e-12,"SIGLEC5",156,-90
"ENSG00000185480",9,6,8,466,602,558,9.9540135083094e-12,"PARPBP",157,333
"ENSG00000131669",6534,3649,6475,1034,629,219,1.10520867305006e-11,"NINJ1",158,163
"ENSG00000152137",24,79,89,2,2,2,1.10520867305006e-11,"HSPB8",159,398
"ENSG00000169180",17305,16605,91204,6087,4912,3518,1.10520867305006e-11,"XPO6",160,185
"ENSG00000206172",146011,76520,9166,253,0,34,1.10520867305006e-11,"HBA1",161,16
"ENSG00000134986",4,1,8,680,425,993,1.32977668813553e-11,"NREP",162,12387
"ENSG00000223960",68,48,76,2354,2199,3202,1.35254998577553e-11,"CHROMR",163,43
"ENSG00000178852",16,5,12,823,865,1079,1.57038946476189e-11,"EFCAB13",164,296
"ENSG00000029153",3,7,18,630,764,586,1.73779410274615e-11,"ARNTL2",165,340
"ENSG00000142546",918,1070,2624,678,481,558,1.93274532967097e-11,"NOSIP",166,302
"ENSG00000099860",4350,1330,9579,407,330,696,1.99749018630451e-11,"GADD45B",167,217
"ENSG00000144354",43,22,33,2372,3885,1698,2.02280865817273e-11,"CDCA7",168,221
"ENSG00000172216",4653,5971,20525,1275,1499,418,2.06695191290663e-11,"CEBPB",169,126
"ENSG00000213362",41,51,118,10,12,4,2.10997666088694e-11,"FTH1P12",170,6605
"ENSG00000269821",106,24,133,12048,5660,10457,2.17532573172087e-11,"KCNQ1OT1",171,403
"ENSG00000172167",10,11,21,756,540,508,2.35340319337649e-11,"MTBP",172,101
"ENSG00000140678",18049,11036,47958,3574,6500,4716,2.55123358148003e-11,"ITGAX",173,266
"ENSG00000213160",5,5,17,1147,465,805,2.66263770945894e-11,"KLHL23",174,-33
"ENSG00000127955",8,10,38,1027,1182,928,2.7749796593764e-11,"GNAI1",175,224
"ENSG00000166925",3299,3479,8335,2686,2259,2216,2.89323345060075e-11,"TSC22D4",176,318
"ENSG00000167671",8379,6714,5052,1725,830,1040,2.89323345060075e-11,"UBXN6",177,165
"ENSG00000147650",5,9,10,1021,514,503,3.25234092612162e-11,"LRP12",178,330
"ENSG00000254325",13,11,6,819,1576,1301,3.83285507936495e-11,"AC018607.1",179,556
"ENSG00000186638",13,10,12,553,842,700,4.05732413668395e-11,"KIF24",180,426
"ENSG00000130066",23694,16966,63802,4903,8680,3033,4.71539489966661e-11,"SAT1",181,182
"ENSG00000164116",23,18,13,5394,1080,5156,4.71539489966661e-11,"GUCY1A1",182,363
"ENSG00000197714",21,27,17,2710,1199,1895,4.71539489966661e-11,"ZNF460",183,154
"ENSG00000128833",14,11,11,1203,838,591,5.06848678677744e-11,"MYO5C",184,67
"ENSG00000255398",1758,451,121,21,17,22,5.12123602012902e-11,"HCAR3",185,168
"ENSG00000227591",40,28,52,1,2,2,5.24181584963135e-11,"HSD11B1-AS1",186,534
"ENSG00000100985",5168,5360,16183,263,6,20,5.74462782308386e-11,"MMP9",187,115
"ENSG00000172116",447,957,307,51,11,8,5.74462782308386e-11,"CD8B",188,186
"ENSG00000180644",15828,19637,2515,776,164,285,5.83814453117832e-11,"PRF1",189,155
"ENSG00000156970",15,2,13,1167,1864,986,6.06090253770457e-11,"BUB1B",190,242
"ENSG00000247903",3,2,3,419,419,1049,6.18369867650641e-11,"AC024896.1",191,7831
"ENSG00000232442",350,240,356,119,100,123,6.32703104871852e-11,"MHENCR",192,542
"ENSG00000139832",875,733,3719,180,337,169,6.55482920311556e-11,"RAB20",193,178
"ENSG00000109846",267,176,305,15,0,11,6.85349531590281e-11,"CRYAB",194,577
"ENSG00000071794",30,33,44,1352,943,1185,6.96317659975066e-11,"HLTF",195,13012
"ENSG00000118193",11,8,7,625,1579,871,6.96317659975066e-11,"KIF14",196,-27
"ENSG00000145734",125,172,166,5035,5903,5905,6.98122966231941e-11,"BDP1",197,317
"ENSG00000235257",6,6,4,1102,405,730,7.02642066530799e-11,"ITGA9-AS1",198,551
"ENSG00000274422",2,6,1,708,619,1235,7.3421293445577e-11,"AC245060.5",199,416
"ENSG00000077984",5730,13492,59236,2270,782,1773,7.77562769350036e-11,"CST7",200,175
"ENSG00000171552",6761,8085,3332,1026,574,906,8.86397439128527e-11,"BCL2L1",201,139
"ENSG00000184445",158,98,147,6557,5624,4082,9.07510693111419e-11,"KNTC1",202,174
