"padj","gene","symbol","rank","rank_change"
2.2514280451047e-12,"ENSG00000253797","UTP14C",285,NA
2.48090850583056e-12,"ENSG00000124766","SOX4",286,-159
2.55579158396186e-12,"ENSG00000269858","EGLN2",287,7911
2.65187580998031e-12,"ENSG00000119969","HELLS",288,-148
2.78817073875441e-12,"ENSG00000013306","SLC25A39",289,-146
2.90965208812872e-12,"ENSG00000034152","MAP2K3",290,-165
3.01699811064628e-12,"ENSG00000258366","RTEL1",291,11250
3.20217053353811e-12,"ENSG00000241370","RPP21",292,13751
3.46947322613488e-12,"ENSG00000114854","TNNC1",293,-254
3.50459440065752e-12,"ENSG00000259807","AC009093.1",294,353
3.60150117828354e-12,"ENSG00000172216","CEBPB",295,-126
3.71277109728316e-12,"ENSG00000213658","LAT",296,12817
3.78412446027662e-12,"ENSG00000111642","CHD4",297,16601
3.78412446027662e-12,"ENSG00000178295","GEN1",298,-177
3.85552800481288e-12,"ENSG00000130165","ELOF1",299,-179
4.07213198885368e-12,"ENSG00000167397","VKORC1",300,13173
4.1248515259853e-12,"ENSG00000173641","HSPB7",301,-218
4.19882090934782e-12,"ENSG00000100985","MMP9",302,-115
4.19882090934782e-12,"ENSG00000170525","PFKFB3",303,-158
4.36768057011613e-12,"ENSG00000137331","IER3",304,271
4.36833674097694e-12,"ENSG00000070669","ASNS",305,13230
4.43656964580736e-12,"ENSG00000197753","LHFPL5",306,16377
4.44885623685306e-12,"ENSG00000172270","BSG",307,-172
4.4950819762107e-12,"ENSG00000068971","PPP2R5B",308,-202
4.62085507357385e-12,"ENSG00000185559","DLK1",309,-259
4.68499135802974e-12,"ENSG00000099949","LZTR1",310,6774
4.7869643168891e-12,"ENSG00000181722","ZBTB20",311,-52
5.11876677889929e-12,"ENSG00000218227","AC136632.1",312,NA
5.2180668618813e-12,"ENSG00000184481","FOXO4",313,-191
5.95641321352006e-12,"ENSG00000132376","INPP5K",314,-213
6.05983910805294e-12,"ENSG00000010404","IDS",315,26308
6.1977079468608e-12,"ENSG00000144792","ZNF660",316,-172
6.45381300716193e-12,"ENSG00000265142","MIR133A1HG",317,77
6.68037509923045e-12,"ENSG00000131503","ANKHD1",318,9357
6.89332893183024e-12,"ENSG00000169682","SPNS1",319,28410
7.14089291420243e-12,"ENSG00000236977","ANKRD44-IT1",320,954
7.45051786296069e-12,"ENSG00000131669","NINJ1",321,-163
7.45051786296069e-12,"ENSG00000204427","ABHD16A",322,43340
7.4988742668321e-12,"ENSG00000255455","AP003486.1",323,NA
8.22874138691999e-12,"ENSG00000265713","AC023389.2",324,-54
9.28871570887924e-12,"ENSG00000105409","ATP1A3",325,4727
9.36768173072843e-12,"ENSG00000197893","NRAP",326,-282
9.38532440858571e-12,"ENSG00000174021","GNG5",327,16355
9.48821109919403e-12,"ENSG00000243725","TTC4",328,7338
9.62889839182852e-12,"ENSG00000170092","SPDYE5",329,374
1.13016381914228e-11,"ENSG00000112303","VNN2",330,-124
1.17901707447706e-11,"ENSG00000230733","AC092171.2",331,NA
1.20896805263743e-11,"ENSG00000160570","DEDD2",332,-114
1.3459686860926e-11,"ENSG00000175322","ZNF519",333,158
1.35466077473605e-11,"ENSG00000152104","PTPN14",334,-6
1.39982704506127e-11,"ENSG00000164512","ANKRD55",335,-84
1.41894394263521e-11,"ENSG00000164707","SLC13A4",336,6226
1.48592168960477e-11,"ENSG00000197714","ZNF460",337,-154
1.48592168960477e-11,"ENSG00000243646","IL10RB",338,14560
1.56280629001461e-11,"ENSG00000126264","HCST",339,8164
1.56280629001461e-11,"ENSG00000171552","BCL2L1",340,-139
1.56280629001461e-11,"ENSG00000250802","ZBED3-AS1",341,-120
1.63307214453943e-11,"ENSG00000167671","UBXN6",342,-165
1.63307214453943e-11,"ENSG00000168000","BSCL2",343,13886
1.71374304916011e-11,"ENSG00000180644","PRF1",344,-155
1.72833763473852e-11,"ENSG00000169180","XPO6",345,-185
1.77187167206999e-11,"ENSG00000196497","IPO4",346,6300
1.77187167206999e-11,"ENSG00000253720","AC022973.3",347,2814
1.824926576145e-11,"ENSG00000272821","U62317.1",348,NA
1.82915517211382e-11,"ENSG00000279541","AC005261.5",349,174
1.84521915372068e-11,"ENSG00000123349","PFDN5",350,13458
1.8987673702423e-11,"ENSG00000234925","ATP5PDP4",351,320
1.94517638344662e-11,"ENSG00000167083","GNGT2",352,-98
2.00469692717497e-11,"ENSG00000255398","HCAR3",353,-168
2.02914283493159e-11,"ENSG00000116641","DOCK7",354,-203
2.02914283493159e-11,"ENSG00000244734","HBB",355,-138
2.08904108944006e-11,"ENSG00000125498","KIR2DL1",356,-112
2.24558286484189e-11,"ENSG00000154553","PDLIM3",357,-262
2.26786109745571e-11,"ENSG00000271383","NBPF19",358,5286
2.27031570574295e-11,"ENSG00000146263","MMS22L",359,-149
2.31401835930366e-11,"ENSG00000111490","TBC1D30",360,5069
2.42630537708532e-11,"ENSG00000090554","FLT3LG",361,13660
2.43614536455425e-11,"ENSG00000145194","ECE2",362,21979
2.43970451482428e-11,"ENSG00000130066","SAT1",363,-182
2.49690576316943e-11,"ENSG00000260461","AL133355.1",364,18614
2.65877932111981e-11,"ENSG00000241553","ARPC4",365,362
2.67397100604146e-11,"ENSG00000184937","WT1",366,-31
2.68745099825313e-11,"ENSG00000175003","SLC22A1",367,-234
2.73792925644542e-11,"ENSG00000091127","PUS7",368,-78
2.73792925644542e-11,"ENSG00000168530","MYL1",369,-250
3.03398392457285e-11,"ENSG00000136982","DSCC1",370,-121
3.05217265815541e-11,"ENSG00000139832","RAB20",371,-178
3.08582037483838e-11,"ENSG00000279880","AC134407.3",372,221
3.45656118868057e-11,"ENSG00000148344","PTGES",373,-165
3.4762040876873e-11,"ENSG00000172116","CD8B",374,-186
3.79723968916515e-11,"ENSG00000077984","CST7",375,-175
3.8023252193271e-11,"ENSG00000184445","KNTC1",376,-174
3.86653665693615e-11,"ENSG00000243279","PRAF2",377,1342
3.88784921536417e-11,"ENSG00000111716","LDHB",378,13293
3.91707497251377e-11,"ENSG00000227507","LTB",379,-227
3.99145458883709e-11,"ENSG00000168899","VAMP5",380,-130
4.07066829674922e-11,"ENSG00000259623","AC125257.1",381,NA
4.1482428089366e-11,"ENSG00000089159","PXN",382,255
