"GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
1987,1123,5754,3366,54728,30250
827,480,398,241,592,364
0,0,0,1,12,9
232,294,560,344,1796,1011
258,156,365,223,364,201
324,205,513,270,522,255
0,0,0,0,0,0
1,0,2,1,2,1
48,34,85,57,155,99
1,2,2,2,22,22
0,0,0,0,2,1
289,174,184,100,172,111
5,3,6,4,15,10
1194,731,569,338,2146,1207
1656,891,1029,576,812,443
1941,1259,694,482,1273,803
654,380,752,382,1176,606
1,7,15,11,14,19
53,34,16,13,18,11
582,315,742,430,5139,2596
0,0,0,0,1,1
381,210,769,459,1304,715
17,9,9,6,1,1
2713,1675,10020,5936,73036,40574
3063,1748,1724,983,6037,3296
0,0,0,0,0,0
1,1,79,40,17,21
1020,562,834,465,1039,560
24,23,5,6,7,12
1,0,0,0,0,1
403,223,338,189,930,512
705,402,767,451,607,349
1756,981,2398,1343,12867,7006
1577,901,946,556,1547,884
8,4,0,0,1,0
3034,1689,1864,1092,7112,4042
0,0,0,0,0,0
932,562,1091,612,3114,1727
34,18,17,16,1,6
2113,1171,2986,1704,3598,2041
5672,3262,5489,3258,12628,7027
6,8,0,3,23,23
146,79,428,240,844,464
119,61,113,67,43,30
2,1,0,0,0,1
0,0,0,0,0,0
355,216,220,148,273,156
69,55,44,32,80,64
0,1,3,3,16,19
478,289,299,187,472,264
0,0,0,0,0,0
0,0,0,0,0,0
0,2,4,5,34,40
309,198,121,69,144,81
19,18,4,1,4,2
10,11,2,1,2,1
28,25,41,24,134,98
0,0,0,0,0,0
8,11,3,3,4,21
807,490,901,493,5936,2854
139,138,355,247,331,218
13,10,18,11,41,31
1741,1301,606,359,413,260
0,0,0,0,1,0
104,2,91,0,435,23
0,0,0,0,0,0
616,373,468,270,150,88
0,1,1,0,0,1
0,0,4,4,0,1
576,328,980,547,1465,850
2,2,0,1,0,6
227,128,108,67,183,106
185,102,217,126,919,526
0,0,0,0,0,0
1268,761,953,537,2612,1402
347,206,383,224,1398,777
0,0,0,2,4,2
83,48,90,59,65,39
1098,636,1334,763,6512,3595
1,0,0,0,0,0
2,1,0,0,0,0
145,70,66,35,35,10
0,0,2,2,0,0
0,0,0,0,0,0
24,13,56,32,18,12
956,553,868,480,1556,785
1,0,2,1,10,8
0,0,1,2,1,0
100,60,166,99,306,175
63,39,46,29,36,19
2,1,2,2,0,0
10,0,4,0,12,0
0,0,0,0,3,2
0,0,0,0,2,6
2,3,1,2,15,10
3,2,15,15,13,9
1129,630,521,291,298,175
1170,506,1615,590,1657,582
0,0,0,0,0,0
3,11,13,22,22,39
0,1,0,0,0,0
0,0,0,0,0,0
2,3,0,0,0,0
0,0,0,0,0,0
12,8,0,0,64,35
36,28,37,31,51,57
3558,478,1512,73,3122,89
1135,732,1046,602,3587,1998
677,473,1256,769,2998,1697
133,88,63,48,58,67
0,3,0,1,0,6
8,5,20,12,25,14
0,1,2,3,17,13
299,224,657,458,4492,2619
116,79,187,95,757,371
6493,3613,13832,7560,6458,3433
179,94,484,210,2023,921
213,141,215,132,300,240
13,14,46,38,102,67
0,0,0,0,2,1
10,10,64,41,20,13
2,1,0,1,2,1
5,6,53,35,60,43
4,2,0,0,1,1
1171,735,612,366,3361,1755
0,4,4,15,3,6
3,4,29,19,15,13
124,75,231,137,433,246
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,3,1
153,79,162,88,504,236
84,51,332,188,1304,755
1174,435,1394,519,3046,839
0,0,0,0,0,0
244,136,296,175,1952,1109
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
