"padj","gene","symbol","rank","rank_change"
1.34189710624201e-10,"ENSG00000100284","TOM1",213,294
1.34953253971051e-10,"ENSG00000157657","ZNF618",214,186
1.35198781038326e-10,"ENSG00000260852","FBXL19-AS1",215,28
1.37617138537459e-10,"ENSG00000242094","FOXP1-IT1",216,33
1.3924264225318e-10,"ENSG00000244734","HBB",217,138
1.45785401522627e-10,"ENSG00000160570","DEDD2",218,114
1.60166446823926e-10,"ENSG00000260592","AC130456.3",219,-98
1.7501020553005e-10,"ENSG00000105287","PRKD2",220,243
2.00967706120875e-10,"ENSG00000250802","ZBED3-AS1",221,120
2.06544495439622e-10,"ENSG00000144407","PTH2R",222,170
2.0749132953035e-10,"ENSG00000269981","AL627309.7",223,650
2.19205902929187e-10,"ENSG00000109472","CPE",224,646
2.19275207926532e-10,"ENSG00000118495","PLAGL1",225,337
2.35522444388054e-10,"ENSG00000117984","CTSD",226,-151
2.52567785343834e-10,"ENSG00000164047","CAMP",227,207
2.61376722593238e-10,"ENSG00000105374","NKG7",228,194
2.63540627843574e-10,"ENSG00000147454","SLC25A37",229,277
2.80759290221721e-10,"ENSG00000172354","GNB2",230,208
2.80759290221721e-10,"ENSG00000178814","OPLAH",231,291
2.80759290221721e-10,"ENSG00000257335","MGAM",232,191
2.86468486093372e-10,"ENSG00000221983","UBA52",233,223
2.88057513452618e-10,"ENSG00000120306","CYSTM1",234,212
2.88057513452618e-10,"ENSG00000145901","TNIP1",235,261
3.23676659637838e-10,"ENSG00000223722","IFITM3P2",236,1968
3.31217602285325e-10,"ENSG00000171051","FPR1",237,170
3.35445912854013e-10,"ENSG00000116991","SIPA1L2",238,296
3.49030734798732e-10,"ENSG00000172469","MANEA",239,235
3.5294294017746e-10,"ENSG00000136824","SMC2",240,187
3.64275589585682e-10,"ENSG00000267041","ZNF850",241,403
3.85837295243331e-10,"ENSG00000225720","AL031846.1",242,1437
4.01764786921956e-10,"ENSG00000169583","CLIC3",243,229
4.04054601356751e-10,"ENSG00000125498","KIR2DL1",244,112
4.07749135237171e-10,"ENSG00000100100","PIK3IP1",245,254
4.40221992508549e-10,"ENSG00000127914","AKAP9",246,247
4.66099851273827e-10,"ENSG00000171877","FRMD5",247,188
4.67112215982962e-10,"ENSG00000117298","ECE1",248,222
4.67767326068683e-10,"ENSG00000136982","DSCC1",249,121
4.78231166997242e-10,"ENSG00000168899","VAMP5",250,130
4.83848816661615e-10,"ENSG00000164512","ANKRD55",251,84
4.87990683103874e-10,"ENSG00000152455","SUV39H2",252,838
4.96501190700919e-10,"ENSG00000107223","EDF1",253,332
5.04409944615888e-10,"ENSG00000167083","GNGT2",254,98
5.52130586388451e-10,"ENSG00000170290","SLN",255,305
5.5936168628389e-10,"ENSG00000109107","ALDOC",256,163
5.5936168628389e-10,"ENSG00000271270","TMCC1-AS1",257,180
5.61510691658012e-10,"ENSG00000188536","HBA2",258,157
5.7106943563598e-10,"ENSG00000181722","ZBTB20",259,52
6.14713907517848e-10,"ENSG00000126934","MAP2K2",260,561
6.78023714544232e-10,"ENSG00000203999","LINC01270",261,335
6.78023714544232e-10,"ENSG00000204767","INSYN2B",262,1463
6.87060983961456e-10,"ENSG00000162390","ACOT11",263,389
6.92361034569552e-10,"ENSG00000140264","SERF2",264,-27
7.00715857859428e-10,"ENSG00000277443","MARCKS",265,163
7.41349205341698e-10,"ENSG00000122779","TRIM24",266,290
7.84830312664606e-10,"ENSG00000101335","MYL9",267,749
8.30446521843292e-10,"ENSG00000008056","SYN1",268,146
8.35816291263554e-10,"ENSG00000111247","RAD51AP1",269,279
8.35816291263554e-10,"ENSG00000265713","AC023389.2",270,54
8.73828292607404e-10,"ENSG00000178502","KLHL11",271,-104
8.98690539818254e-10,"ENSG00000116871","MAP7D1",272,255
9.60375946537048e-10,"ENSG00000198482","ZNF808",273,705
1.04234203507208e-09,"ENSG00000107890","ANKRD26",274,904
1.05229247200564e-09,"ENSG00000102010","BMX",275,234
1.06178218588349e-09,"ENSG00000133739","LRRCC1",276,250
1.09784856133753e-09,"ENSG00000153395","LPCAT1",277,274
