"rank_change","symbol","rank","padj","gene"
NA,"Z93020.1",3647,0.000625472860126085,"ENSG00000286316"
451,"SLC5A4",3648,0.0006256256286982,"ENSG00000100191"
527,"RNF166",3649,0.00062709925369272,"ENSG00000158717"
-318,"RNU6-377P",3650,0.000628351144899529,"ENSG00000251774"
1843,"ARHGEF5",3651,0.000628747558274685,"ENSG00000050327"
-412,"BTBD3",3652,0.000629069124430663,"ENSG00000132640"
-474,"AC211486.1",3653,0.000629069124430663,"ENSG00000146722"
6123,"AC015971.1",3654,0.000629069124430663,"ENSG00000228363"
-1798,"ZSCAN23",3655,0.000630913405792296,"ENSG00000187987"
2723,"EFHD1",3656,0.000631146818660863,"ENSG00000115468"
16194,"H3P36",3657,0.000631182464697275,"ENSG00000236534"
NA,"AC245884.12",3658,0.000631891614503509,"ENSG00000276758"
1257,"ZER1",3659,0.000632016860000385,"ENSG00000160445"
1124,"ASCC2",3660,0.000632105786292484,"ENSG00000100325"
NA,"AC096970.1",3661,0.000635496980569045,"ENSG00000287131"
1451,"PDIK1L",3662,0.000636078170796002,"ENSG00000175087"
-2058,"ELMO1-AS1",3663,0.000636175121505321,"ENSG00000224101"
3363,"FAM167A",3664,0.000636281793093132,"ENSG00000154319"
598,"ATP6V1G2",3665,0.000637276539142854,"ENSG00000213760"
-311,"AL031666.3",3666,0.000637276539142854,"ENSG00000273451"
3023,"MST1L",3667,0.000637894498768499,"ENSG00000186715"
981,"AC009951.4",3668,0.000638817193972633,"ENSG00000279166"
-886,"AC105285.1",3669,0.000639344421318902,"ENSG00000245213"
-1124,"AC138028.2",3670,0.000639461728935035,"ENSG00000224888"
-178,"MIR3186",3671,0.000639461728935035,"ENSG00000266189"
-142,"AC069282.1",3672,0.00063948336006562,"ENSG00000225507"
3815,"NCS1",3673,0.000640102079572723,"ENSG00000107130"
551,"ARHGAP35",3674,0.000641318688900592,"ENSG00000160007"
-878,"NPC2",3675,0.000641558047417402,"ENSG00000119655"
11130,"PHLDB1",3676,0.000643411392676044,"ENSG00000019144"
901,"MMP24OS",3677,0.000643699382688058,"ENSG00000126005"
2325,"AP002495.1",3678,0.000645267414018836,"ENSG00000254469"
-1249,"FUT7",3679,0.000646736399831498,"ENSG00000180549"
2241,"NEFL",3680,0.000646774103036904,"ENSG00000277586"
1758,"COPS6",3681,0.000646994925653683,"ENSG00000168090"
725,"AC114763.1",3682,0.000647102227337082,"ENSG00000228043"
409,"TPH1",3683,0.000650440488730009,"ENSG00000129167"
1492,"VAV1",3684,0.000651004398308216,"ENSG00000141968"
-1246,"TAS2R15P",3685,0.000653041250448474,"ENSG00000212125"
-3557,"BABAM1",3686,0.000653528763582014,"ENSG00000105393"
4465,"MKNK1-AS1",3687,0.000653528763582014,"ENSG00000269956"
747,"BICDL2",3688,0.000654387252955091,"ENSG00000162069"
1397,"CNST",3689,0.000654387252955091,"ENSG00000162852"
1740,"PPP2R2B",3690,0.000654924536857783,"ENSG00000156475"
337,"PPP1CA",3691,0.000654924536857783,"ENSG00000172531"
4389,"MYOZ2",3692,0.000655709738260764,"ENSG00000172399"
3371,"DNM2",3693,0.000655901685091355,"ENSG00000079805"
1095,"SMIM6",3694,0.000655901685091355,"ENSG00000259120"
938,"ARHGAP30",3695,0.000656561992907235,"ENSG00000186517"
768,"TLR2",3696,0.000656691605204391,"ENSG00000137462"
1385,"CEP20",3697,0.000657078425342798,"ENSG00000133393"
-1803,"BACH1-IT1",3698,0.000657517452491644,"ENSG00000248476"
3143,"CASQ1",3699,0.000658112381256264,"ENSG00000143318"
-386,"AL355483.1",3700,0.000658112381256264,"ENSG00000228838"
-3528,"LRCH4",3701,0.000658621844079864,"ENSG00000077454"
-2101,"AL591623.2",3702,0.000659102565555081,"ENSG00000228955"
-1381,"CEP295NL",3703,0.000659357846725721,"ENSG00000178404"
-341,"AC055764.1",3704,0.000659774946356184,"ENSG00000234136"
705,"OR7E7P",3705,0.000660859304249427,"ENSG00000238228"
-363,"MIR1284",3706,0.000660895981944514,"ENSG00000221264"
-1315,"ZNF737",3707,0.000660895981944514,"ENSG00000237440"
1271,"NME3",3708,0.000662056484867093,"ENSG00000103024"
1066,"COX4I1",3709,0.00066250038370071,"ENSG00000131143"
125,"NHSL1",3710,0.000662907533252737,"ENSG00000135540"
2407,"DENND2D",3711,0.000663127670400208,"ENSG00000162777"
2746,"TMPRSS3",3712,0.000664222607577172,"ENSG00000160183"
-364,"AL807757.1",3713,0.000664973927955667,"ENSG00000230815"
607,"ZNF365",3714,0.000665530782913637,"ENSG00000138311"
-391,"MIR1285-1",3715,0.000665530782913637,"ENSG00000221520"
1915,"BICDL1",3716,0.000665859183807497,"ENSG00000135127"
239,"IFNGR2",3717,0.000665859183807497,"ENSG00000159128"
625,"MIGA1",3718,0.000665859183807497,"ENSG00000180488"
955,"THEMIS2",3719,0.000667246575232198,"ENSG00000130775"
5640,"SCN2B",3720,0.000667312816423471,"ENSG00000149575"
-323,"SVOPL",3721,0.000669331210018839,"ENSG00000157703"
1266,"AC008555.6",3722,0.000669792671856291,"ENSG00000280106"
-2691,"AL136988.2",3723,0.000670992899465666,"ENSG00000227006"
-529,"AC019131.2",3724,0.000671725171372259,"ENSG00000272777"
240,"PTTG3P",3725,0.000672746767275306,"ENSG00000213005"
1705,"ATAD2B",3726,0.000676885894158762,"ENSG00000119778"
-451,"B3GALT2",3727,0.000676885894158762,"ENSG00000162630"
-1090,"AC068389.3",3728,0.000676944738729266,"ENSG00000255321"
6513,"AL450405.1",3729,0.000677487788496568,"ENSG00000230202"
-875,"SNCA",3730,0.00067784427148272,"ENSG00000145335"
56,"LRIG2-DT",3731,0.000678774942152268,"ENSG00000238198"
2748,"RPS27AP12",3732,0.000679448468144396,"ENSG00000225224"
1329,"TMBIM1",3733,0.000679934609000404,"ENSG00000135926"
982,"EIF1B",3734,0.000681041033705207,"ENSG00000114784"
1402,"JAK3",3735,0.000681163254588736,"ENSG00000105639"
3250,"AC098935.2",3736,0.000681163254588736,"ENSG00000271680"
-260,"TAS2R3",3737,0.000681490273431497,"ENSG00000127362"
-2600,"FOXP1-AS1",3738,0.000682646714402769,"ENSG00000244203"
-357,"RNU6-1262P",3739,0.000683326505709035,"ENSG00000252026"
-383,"AC073592.6",3740,0.000684274388069077,"ENSG00000279334"
3966,"KIAA0100",3741,0.000685840986069318,"ENSG00000007202"
1066,"PILRA",3742,0.000686475776478477,"ENSG00000085514"
-356,"RNU2-68P",3743,0.000687015430975098,"ENSG00000222810"
-116,"BAALC",3744,0.000687481407295466,"ENSG00000164929"
NA,"AC026956.2",3745,0.000687481407295466,"ENSG00000287872"
2014,"STMN1",3746,0.000687974272824493,"ENSG00000117632"
638,"RAB35",3747,0.000688754884094006,"ENSG00000111737"
-384,"RN7SL698P",3748,0.000690197146965773,"ENSG00000244232"
2483,"UIMC1",3749,0.000690348731515801,"ENSG00000087206"
1123,"AC005183.1",3750,0.000690348731515801,"ENSG00000271500"
