"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000287799",2,1,0,41,66,54,0.00523284589334414,"AC005014.4",5276,NA
"ENSG00000287386",0,0,0,18,30,31,0.00523486690828962,"AC009248.3",5282,NA
"ENSG00000286193",0,0,0,32,25,20,0.00532783641520869,"AC025449.2",5305,NA
"ENSG00000287642",20,8,4,3,5,2,0.00537440675043765,"AC093599.2",5317,NA
"ENSG00000287431",1,3,6,62,50,185,0.00540412304701061,"AC027601.5",5319,NA
"ENSG00000213204",4,0,0,69,81,88,0.0054248206512512,"AL049697.1",5323,NA
"ENSG00000284783",0,0,0,23,19,38,0.00542644792637568,"AC091057.4",5325,NA
"ENSG00000285813",6,4,5,87,98,77,0.00542644792637568,"AP000813.1",5326,NA
"ENSG00000285669",1,4,25,252,209,165,0.00548817837654281,"AC026979.4",5338,NA
"ENSG00000287121",1,1,0,40,47,52,0.00551765896518299,"AC007220.2",5346,NA
"ENSG00000188730",6,1,7,0,0,0,0.00556076612792733,"VWC2",5352,NA
"ENSG00000250978",1,9,4,0,0,0,0.0055771737857757,"AC079467.1",5362,NA
"ENSG00000284976",341,275,488,593,414,255,0.00576439493737154,"BX255925.3",5407,NA
"ENSG00000285331",7,2,6,152,53,143,0.00594016190688624,"AC090517.5",5439,NA
"ENSG00000267461",3,2,45,3,0,0,0.00602944623367019,"AC079210.1",5453,NA
"ENSG00000285081",1,0,3,28,111,51,0.00615885656015458,"AC004593.1",5485,NA
"ENSG00000286608",0,1,0,39,30,37,0.00639067724428729,"AC010201.3",5534,NA
"ENSG00000274322",2,0,0,76,34,49,0.00647030037567819,"AL136531.2",5558,NA
"ENSG00000288612",37,52,387,104,54,49,0.00647612597687621,"AL133351.4",5562,NA
"ENSG00000163235",131,173,1592,306,26,13,0.00654912840278666,"TGFA",5575,NA
"ENSG00000285603",0,0,0,27,13,43,0.0065605298754332,"AL035693.1",5578,NA
"ENSG00000254572",5,4,14,3,2,2,0.00672514168264058,"GLULP3",5604,NA
"ENSG00000286615",1,0,0,25,68,28,0.00672514168264058,"AC011416.4",5605,NA
"ENSG00000185985",3,1,20,0,0,1,0.00697847278617642,"SLITRK2",5650,NA
"ENSG00000241656",3,5,6,0,0,1,0.00705669600001411,"UBA52P7",5665,NA
"ENSG00000287214",7,5,4,97,91,98,0.00709976895934299,"AC021321.2",5674,NA
"ENSG00000286677",1,0,1,55,20,79,0.00714295991981276,"AP006545.3",5689,NA
"ENSG00000285697",0,0,0,16,31,27,0.0071971830893547,"AC002059.3",5699,NA
"ENSG00000285852",2,0,0,47,25,130,0.00719974575644189,"AL353147.1",5703,NA
"ENSG00000286365",3,2,0,72,54,65,0.00721252686615905,"AP000553.9",5706,NA
"ENSG00000284968",7,3,19,88,185,213,0.0072302477981727,"AC093827.4",5708,NA
"ENSG00000288075",6,3,32,439,111,286,0.00729952300434725,"AC108519.1",5726,NA
"ENSG00000177338",3,15,2,1,1,0,0.00733851347892995,"LINC00469",5735,NA
"ENSG00000259030",1,1,3,41,47,56,0.00733851347892995,"FPGT-TNNI3K",5736,NA
"ENSG00000285530",0,0,0,57,19,13,0.00734238314010395,"AL445928.2",5738,NA
"ENSG00000287141",0,0,0,16,25,33,0.00740013461935817,"AC093675.2",5748,NA
"ENSG00000258210",0,1,0,26,30,52,0.00766662838942658,"AC144548.1",5804,NA
"ENSG00000286138",2,0,0,28,45,108,0.00777019923921685,"AC010336.7",5820,NA
"ENSG00000288018",1,1,1,44,25,80,0.00779380239793868,"AP003120.1",5830,NA
"ENSG00000286256",12,33,79,2,1,24,0.00791938881769064,"AC084871.3",5854,NA
"ENSG00000287355",0,0,1,21,111,17,0.00813142290409121,"AL451123.2",5897,NA
"ENSG00000285581",2,0,1,32,53,53,0.00848433378999914,"AC091196.1",5942,NA
"ENSG00000231095",1,3,38,3,1,1,0.00869104985902072,"GYG1P3",5977,NA
"ENSG00000285577",0,0,0,2,79,48,0.00933660186884919,"AC019127.1",6079,NA
"ENSG00000284930",5,29,120,3,24,1,0.00944656274008425,"AC005280.2",6090,NA
"ENSG00000286828",0,0,0,31,11,32,0.00980738883143536,"AC008883.3",6137,NA
"ENSG00000254695",2,0,30,0,0,0,0.0099815820634923,"AC087379.2",6177,NA
