"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000131095",311,186,810,5,10,31,1.34440792529714e-13,"GFAP",90,622
"ENSG00000050165",69,131,224,18,5,6,1.45096885167336e-13,"DKK3",91,684
"ENSG00000236562",79,38,205,5,2,1,1.45415242229539e-13,"IFITM3P1",92,1259
"ENSG00000102098",13,5,8,1358,837,1009,1.57150639751439e-13,"SCML2",93,141
"ENSG00000258819",53,275,130,2,1,2,2.04670574078849e-13,"LINC02289",94,438
"ENSG00000154553",43,77,80,6,5,2,2.50626035899296e-13,"PDLIM3",95,262
"ENSG00000079393",97,41,178,4,0,2,2.56155882667206e-13,"DUSP13",96,169
"ENSG00000103154",91,110,284,2,0,0,2.56155882667206e-13,"NECAB2",97,183
"ENSG00000185043",1249,1354,2373,655,791,764,2.7664296529391e-13,"CIB1",98,304
"ENSG00000246859",7,3,10,1487,543,1611,3.38528372849213e-13,"STARD4-AS1",99,40
"ENSG00000189067",15999,13869,80658,4252,2730,3480,3.70946207804107e-13,"LITAF",100,117
"ENSG00000132376",1658,1341,2797,970,979,882,3.88558246993558e-13,"INPP5K",101,213
"ENSG00000060749",64,80,78,3108,3580,3527,4.26726737913558e-13,"QSER1",102,105
"ENSG00000167768",1599,1010,98,6,6,0,4.32990037343815e-13,"KRT1",103,135
"ENSG00000134668",116,56,83,1,4,5,4.56624663680526e-13,"SPOCD1",104,119
"ENSG00000142731",14,12,13,777,1152,882,4.61397659618594e-13,"PLK4",105,58
"ENSG00000068971",1014,648,1508,263,378,212,4.98336801118115e-13,"PPP2R5B",106,202
"ENSG00000173110",8520,1516,8372,24,113,3,4.98336801118115e-13,"HSPA6",107,121
"ENSG00000173868",5396,4657,2167,157,263,38,4.98336801118115e-13,"PHOSPHO1",108,127
"ENSG00000149639",103,63,138,4028,6592,4058,5.16821054683208e-13,"SOGA1",109,122
"ENSG00000149289",6,6,27,2044,943,2740,5.63406116625345e-13,"ZC3H12C",110,123
"ENSG00000204592",49730,53724,129569,19638,22267,10076,5.63406116625345e-13,"HLA-E",111,116
"ENSG00000104879",2735,1531,655,11,60,60,5.99197469829282e-13,"CKM",112,308
"ENSG00000163507",19,20,27,1034,1059,773,6.37094340417131e-13,"CIP2A",113,75
"ENSG00000225470",14,7,7,1179,1233,2461,8.90440337271355e-13,"JPX",114,-27
"ENSG00000115607",1675,5936,40574,328,48,61,9.25422651520252e-13,"IL18RAP",115,130
"ENSG00000214688",77,81,169,32,19,15,9.77149827041261e-13,"C10orf105",116,66
"ENSG00000106484",24,6,33,1652,2098,1714,1.03509601353642e-12,"MEST",117,947
"ENSG00000147872",15575,5285,7703,1214,1215,820,1.07823757685621e-12,"PLIN2",118,151
"ENSG00000168530",209,149,67,0,0,0,1.07823757685621e-12,"MYL1",119,250
"ENSG00000130165",749,718,1038,404,394,388,1.3000714475123e-12,"ELOF1",120,179
"ENSG00000178295",51,32,66,2378,2590,1556,1.55678812580123e-12,"GEN1",121,177
"ENSG00000184481",1630,1201,2076,599,464,680,1.58868407908211e-12,"FOXO4",122,191
"ENSG00000152463",13,906,5694,5,1,4,1.60228921946195e-12,"OLAH",123,143
"ENSG00000286071",16,8,9,922,1105,1198,1.75563270139488e-12,"AL136171.2",124,NA
"ENSG00000034152",5458,3777,10684,2812,2690,2350,1.9579935288837e-12,"MAP2K3",125,165
"ENSG00000127084",8854,6902,23100,3406,4012,2329,2.09759113352054e-12,"FGD3",126,151
"ENSG00000124766",57,31,106,2814,5511,7408,2.23447599117845e-12,"SOX4",127,159
"ENSG00000066279",25,7,12,1837,3406,1960,2.54823841758365e-12,"ASPM",128,12
"ENSG00000159173",450,111,61,2,1,1,2.54823841758365e-12,"TNNI1",129,300
"ENSG00000051341",22,5,20,1610,2039,1266,2.64743883123973e-12,"POLQ",130,30
"ENSG00000239474",44,70,126,3,2,9,2.76242032295904e-12,"KLHL41",131,55
"ENSG00000139890",156,305,498,60,17,24,2.91518683534436e-12,"REM2",132,138
"ENSG00000175003",62,35,110,3,4,0,2.98497625230264e-12,"SLC22A1",133,234
"ENSG00000136205",143,194,307,7224,7218,4979,3.1714369483538e-12,"TNS3",134,105
"ENSG00000172270",10129,7886,17350,5422,4962,3209,3.35108687598635e-12,"BSG",135,172
"ENSG00000164309",133,188,365,48,13,27,3.61671627191428e-12,"CMYA5",136,556
"ENSG00000286051",0,0,0,2418,482,6603,3.64039389572905e-12,"AC244102.3",137,NA
"ENSG00000128340",16055,17423,54705,6951,7741,8455,3.6601131781054e-12,"RAC2",138,138
"ENSG00000281344",1,4,7,425,810,953,4.75820479472831e-12,"HELLPAR",139,52
